SMILES,sars,mers
CC(=O)N1CCC[C@@H]1C(=O)O,-5.043,-5.267
CC(C)NC(=O)c1nnn(-c2ccc(F)cc2)c1C1CC1,-6.011,-6.409
Nc1nnc(-c2ccccc2Cl)[nH]1,-5.326,-6.074
O=C(O)C1CCCCCC1,-4.895,-5.285
Cl.NC1(C(=O)O)CCNCC1,-5.396,-4.887
CC(SCc1ccc(Br)s1)C(=O)N(C)C,-4.944,-4.887
O=C(NC(=S)N1CCCC1)c1ccccc1F,-5.823,-5.976
COc1cc(C(=O)NC2(c3ccc(F)cc3F)CCC2)cc(Cl)c1O,-7.102,-7.58
Fc1cc(OC(F)F)ccc1Br,-4.691,-5.468
CC(C)C1NC(=O)C12CCC2,-4.717,-5.095
Cc1cn2c(n1)CCC(NC(=O)C1CCC(=O)N1)C2,-6.802,-6.711
CC(=O)Nc1ccc(NC(C)C(=O)N2CCOCC2)cc1Cl,-6.315,-6.709
OC1CCCC(O)CCC1,-4.56,-5.046
O=C(O)c1cc(Cl)n[nH]c1=O,-5.872,-5.427
Cn1c(C(=O)O)cc2occc21,-5.301,-5.587
Cc1cc(Br)c(C)s1,-3.441,-4.056
CCOc1cc(C(=O)NCC(F)(F)F)ccc1OCc1cccnc1,-6.872,-7.204
Cl.O=C(O)c1ncn2c1CNCC2,-5.811,-5.865
Nc1nc(-c2ccccc2Cl)cs1,-4.867,-5.675
CC(C)C(=O)c1ccc(N)cc1,-4.579,-5.238
CC(=O)Nc1cc(F)ccc1C#N,-5.077,-5.909
Cc1ccc(NC(=O)C(=O)O)cc1,-5.269,-5.623
CC(C)=CC(=O)OC(C)C(=O)Nc1ccc2c(c1)OCO2,-6.368,-7.127
COCCOCC(C)=O,-3.93,-3.862
O=C1CC(C(=O)O)CO1,-4.74,-4.646
CON(C)C(=O)Cn1cnc2scc(-c3ccc(F)cc3)c2c1=O,-6.738,-7.432
Cl.Cl.c1ccc2sc(C3CNC3)nc2c1,-5.888,-6.666
O=C(O)CC1CCCCC(=O)N1,-5.371,-5.268
C1CCC2(CC1)CCNCC2,-4.456,-4.991
CC(C)N(CCS(C)(=O)=O)S(=O)(=O)c1ccc(Cl)cc1,-5.669,-5.711
C[N+]1(C)CCNCC1.[Cl-],-4.368,-4.229
CNS(=O)(=O)c1cccc(N)c1.Cl,-5.301,-5.727
Cc1nn(C)c(Cl)c1CN(C)c1ccc2ccccc2c1,-6.309,-7.222
O=C(NC(=S)NCc1ccccc1)c1ccccc1Cl,-6.474,-6.585
Cl.O=C(O)c1cn2c(n1)COCC2,-5.405,-5.702
CNC(=O)c1cc(F)c(Cl)cc1F,-4.776,-6.079
N#CCc1c(F)cccc1Cl,-5.146,-5.174
Cc1cc(-c2ccc(Cl)cc2)nc2c1c(C)nn2CCO,-7.179,-7.11
C=CC(=O)NCCC(=O)OC,-4.485,-4.522
Cl.NC(CC(=O)O)C1CCCCCC1,-5.258,-5.357
O=C1NCCc2ccc(Br)cc21,-5.326,-5.742
Cc1n[nH]c(C(C)O)n1,-4.784,-4.786
CC(=O)Nc1nc(C(F)(F)F)co1,-5.252,-5.497
Cl.O=C(O)C1CCCc2[nH]cnc21,-5.972,-6.138
CC(C)C(CN)c1ccc(Cl)cc1,-4.69,-5.213
CCOc1ccccc1NCC(N)=O,-5.062,
COCCn1cnn(CNC2(c3cccc(Br)c3)CCC2)c1=S,-6.202,-6.832
CC1Cc2ccccc2N1C(=O)COc1cccc2c1OC(C)(C)C2,,-8.155
O=c1[nH]ccn1-c1ccccc1Cl,-5.312,-5.712
O=C(Cn1c(S)nnc1-c1ccc(Cl)cc1)NOCc1ccccc1,-6.77,-6.797
Cc1noc(C2CCCN2C(=O)C2CCC2)n1,-5.409,-6.495
Brc1cnc(N2CCCO2)nc1,-4.805,-4.893
